"INDICADOR" "NOTA" "DESDE" "HASTA"
"Ahorro ajustado: daño por emisión de dióxido de carbono (US$ actuales)" "El daño por emisión de dióxido de carbono se estima en US$20 por tonelada de carbono (daño unitario en dólares de los Estados Unidos de 1995) multiplicado por la cantidad de toneladas de carbono emitidas." 1970 2016
"Ahorro ajustado: gasto en educación (% del INB)" "El término gastos en educación se refiere a los gastos operativos corrientes en educación, que incluye sueldos y salarios, y excluyen inversiones de capital en edificios y equipos." 1970 2016
"Ahorro ajustado: gasto en educación (US$ actuales)" "El término gastos en educación se refiere a los gastos operativos corrientes en educación, que incluye sueldos y salarios, y excluyen inversiones de capital en edificios y equipos." 1970 2016
"Ahorro bruto (% del INB)" "El ahorro bruto se calcula como el ingreso nacional bruto menos el consumo total más las transferencias netas." 1976 2017
"Ahorro bruto (% del PIB)" "El ahorro bruto se calcula como el ingreso nacional bruto menos el consumo total más las transferencias netas." 1976 2017
"Ahorro bruto (UMN a precios actuales)" "El ahorro bruto se calcula como el ingreso nacional bruto menos el consumo total más las transferencias netas. Los datos se expresan en moneda local a precios corrientes." 1976 2017
"Ahorro bruto (US$ a precios actuales)" "El ahorro bruto se calcula como el ingreso nacional bruto menos el consumo total más las transferencias netas. Datos en US$ a precios actuales." 1976 2017
"Ahorro interno bruto (% del PIB)" "El ahorro interno bruto se calcula como el PIB menos el gasto de consumo final (consumo total)." 1970 2017
"Ahorro interno bruto (UMN a precios actuales)" "El ahorro interno bruto se calcula como el PIB menos el gasto de consumo final (consumo total). Los datos se expresan en moneda local a precios corrientes." 1970 2017
"Ahorro interno bruto (US$ a precios actuales)" "El ahorro interno bruto se calcula como el PIB menos el gasto de consumo final (consumo total). Datos en US$ a precios actuales." 1970 2017
"Ahorro neto ajustado, excluido el daño por emisión de partículas (% del ingreso nacional bruto: INB)" "El ahorro neto ajustado equivale al ahorro nacional neto más el gasto en educación y menos el agotamiento de fuentes de energía, el agotamiento de minerales, el agotamiento neto de recursos forestales, y la emisión de dióxido de carbono. Esta serie excluye el daño por emisiones de partículas." 1976 2016
"Ahorro neto ajustado, excluido el daño por emisión de partículas (US$ actuales)" "El ahorro neto ajustado equivale al ahorro nacional neto más el gasto en educación y menos el agotamiento de fuentes de energía, el agotamiento de minerales, el agotamiento neto de recursos forestales, y la emisión de dióxido de carbono. Esta serie excluye el daño por emisiones de partículas." 1976 2016
"Ahorros reajustados: Agotamiento de los recursos naturales (% del INB)" "El agotamiento de los recursos naturales es la suma del agotamiento forestal neto, de la energía y de los minerales. El agotamiento forestal neto es la renta por recursos unitarios multiplicada por el exceso de cosecha de madera en rollo por sobre el crecimiento natural. El agotamiento de la energía es la relación entre el valor de las existencias de recursos energéticos y la duración de las reservas restantes (con un máximo de 25 años). Abarca carbón, petróleo crudo y gas natural. El agotamiento de los minerales es la relación entre el valor de las existencias de recursos minerales y la duración de las reservas restantes (con un máximo de 25 años). Abarca estaño, oro, plomo, zinc, hierro, cobre, níquel, plata, bauxita y fosfato." 1970 2016
"Ajuste de los términos de intercambio (UMN a precios constantes)" "El efecto de los términos de intercambio es igual a la capacidad de importar, menos las exportaciones de bienes y servicios a precios constantes. Los datos están expresados en moneda local a precios constantes." 1970 2017
"Alimentación mediante lactancia exclusivamente (% de niños menores de seis meses)" "La alimentación mediante lactancia exclusivamente representa la proporción de niños menores de seis meses de edad que se alimentaron exclusivamente mediante la lactancia (ningún otro líquido) en las últimas 24 horas." 1989 2016
"Alimentos, bebidas y tabaco (% del valor agregado en la industrialización)" "Valor agregado en la industria manufacturera es la suma de la producción bruta menos el valor de los insumos intermedios utilizados en la producción de las industrias clasificadas en la categoría D de la Clasificación Industrial Internacional Uniforme (CIIU). Alimentos, bebidas y tabaco pertenecen al grupo CIIU 15-16." 1970 2010
"Alumnos de mayor edad, nivel primario, (% de matrícula)" "Over-age students are the percentage of those enrolled who are older than the official school-age range for primary education." 1998 2017
"Alumnos de mayor edad, nivel primario, mujeres (% de matrícula de mujeres)" "Over-age students are the percentage of those enrolled who are older than the official school-age range for primary education." 1998 2017
"Alumnos de mayor edad, nivel primario, varones (% de matrícula de varones)" "Over-age students are the percentage of those enrolled who are older than the official school-age range for primary education." 1998 2017
"AOD neta recibida (% de formación bruta de capital)" "La asistencia oficial neta para el desarrollo (AOD) comprende los desembolsos de préstamos en condiciones concesionarias (netos de reembolsos del principal) y las donaciones otorgadas por organismos oficiales de los miembros del Comité de Asistencia para el Desarrollo (CAD), por instituciones multilaterales y por países que no integran el CAD a fin de promover el desarrollo y el bienestar económico en los países y territorios que figuran en la lista del CAD de destinatarios de AOD. Incluye los préstamos que tienen un elemento de donación de al menos el 25% (calculado a una tasa de descuento del 10%)." 1970 2017
"AOD neta recibida (% de las importaciones de bienes y servicios)" "La asistencia oficial neta para el desarrollo (AOD) comprende los desembolsos de préstamos en condiciones concesionarias (netos de reembolsos del principal) y las donaciones otorgadas por organismos oficiales de los miembros del Comité de Asistencia para el Desarrollo (CAD), por instituciones multilaterales y por países que no integran el CAD a fin de promover el desarrollo y el bienestar económico en los países y territorios que figuran en la lista del CAD de destinatarios de AOD. Incluye los préstamos que tienen un elemento de donación de al menos el 25% (calculado a una tasa de descuento del 10%)." 1976 2017
"AOD neta recibida (% de los gastos del gobierno central)" "La asistencia oficial neta para el desarrollo (AOD) comprende los desembolsos de préstamos en condiciones concesionarias (netos de reembolsos del principal) y las donaciones otorgadas por organismos oficiales de los miembros del Comité de Asistencia para el Desarrollo (CAD), por instituciones multilaterales y por países que no integran el CAD a fin de promover el desarrollo y el bienestar económico en los países y territorios que figuran en la lista del CAD de destinatarios de AOD. Incluye los préstamos que tienen un elemento de donación de al menos el 25% (calculado a una tasa de descuento del 10%)." 1986 2007
"AOD neta recibida (US$ constantes de 2014)" "La asistencia oficial neta para el desarrollo (AOD) comprende los desembolsos de préstamos en condiciones concesionarias (netos de reembolsos del principal) y las donaciones otorgadas por organismos oficiales de los miembros del Comité de Asistencia para el Desarrollo (CAD), por instituciones multilaterales y por países que no integran el CAD a fin de promover el desarrollo y el bienestar económico en los países y territorios que figuran en la lista del CAD de destinatarios de AOD. Incluye los préstamos que tienen un elemento de donación de al menos el 25% (calculado a una tasa de descuento del 10%). Los datos se expresan en dólares de los Estados Unidos a precios constantes del año 2013." 1970 2017
"Áreas protegidas terrestres y marinas (% del total de la superficie territorial)" "Las áreas protegidas terrestres son zonas total o parcialmente protegidas de por lo menos 1.000 hectáreas designadas por autoridades nacionales como reservas científicas con acceso público limitado, parques nacionales, monumentos nacionales, reservas naturales o santuarios de la naturaleza, paisajes protegidos y zonas manejadas principalmente para uso sostenible. Las áreas marinas protegidas son zonas de terreno intermareal o submareal, junto con sus aguas suprayacentes y su flora, fauna y características históricas y culturales conexas, que han sido reservadas por ley o por cualquier otro medio eficaz para proteger parte del entorno que encierra o su totalidad. No se incluyen las zonas protegidas conforme a leyes locales o provinciales." 2016 2017
"Áreas terrestres protegidas (% del área total de la tierra)" "Las áreas protegidas terrestres son zonas total o parcialmente protegidas de por lo menos 1.000 hectáreas designadas por autoridades nacionales como reservas científicas con acceso público limitado, parques nacionales, monumentos nacionales, reservas naturales o santuarios de la naturaleza, paisajes protegidos y zonas manejadas principalmente para uso sostenible. Las áreas marinas protegidas son zonas de terreno intermareal o submareal, junto con sus aguas suprayacentes y su flora, fauna y características históricas y  culturales conexas, que han sido reservadas por ley o por cualquier otro medio eficaz para proteger parte del entorno que encierra o su totalidad. No se incluyen las zonas protegidas conforme a leyes locales o provinciales." 2016 2017
"Asistencia oficial para el desarrollo (AOD) neta y ayuda oficial neta recibidas (US$ constantes de 2013)" "La asistencia oficial neta para el desarrollo (AOD) comprende los desembolsos de préstamos en condiciones concesionarias (netos de reembolsos del principal) y las donaciones otorgadas por organismos oficiales de los miembros del Comité de Asistencia para el Desarrollo (CAD), por instituciones multilaterales y por países que no integran el CAD a fin de promover el desarrollo y el bienestar económico en los países y territorios que figuran en la lista del CAD de destinatarios de AOD. Incluye los préstamos que tienen un elemento de donación de al menos el 25% (calculado a una tasa de descuento del 10%). La ayuda oficial neta se refiere a los flujos de ayuda (netos de reembolsos) de donantes oficiales a países y territorios incluidos en la segunda parte de la lista de destinatarios del CAD: países más avanzados de Europa central y oriental, los países de la ex Unión Soviética y ciertos países y territorios en desarrollo avanzados. La ayuda oficial se brinda conforme a los términos y condiciones similares a los de la AOD. La Parte II de la lista del Comité de Asistencia para el Desarrollo (CAD) fue derogada en 2005. La colección de datos sobre ayuda oficial y otros flujos de recursos a países de la Parte II finalizó con los datos de 2004.  Los datos se expresan en dólares de los Estados Unidos a precios constantes del año 2013." 1970 2017
"Atrasos de intereses,  de la deuda a largo plazo excepcional (US$ a precios actuales)" "Los atrasos en el pago de intereses sobre la deuda a largo plazo son los pagos de intereses adeudados pero no pagados, acumulativos. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales." 1970 2017
"Atrasos de intereses, acreedores oficiales (US$ a precios actuales)" "Los atrasos en el pago de intereses sobre la deuda a largo plazo son los pagos de intereses adeudados pero no pagados, acumulativos. La deuda de acreedores oficiales incluye los préstamos de organizaciones internacionales (préstamos multilaterales) y los préstamos de los Gobiernos (préstamos bilaterales). Los préstamos de organizaciones internacionales incluyen los préstamos y créditos del Banco Mundial, los bancos regionales de desarrollo y otros organismos multilaterales e intergubernamentales. Se excluyen los préstamos provenientes de fondos administrados por un organismo internacional en nombre de un único Gobierno donante; éstos se clasifican como préstamos de Gobiernos. Los préstamos de los Gobiernos incluyen préstamos de Gobiernos y sus organismos (incluidos los bancos centrales), préstamos de órganos autónomos y préstamos directos de organismos oficiales de crédito para la exportación. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales." 1970 2017
"Atrasos de intereses, acreedores privados (US$ a precios actuales)" "Los atrasos en el pago de intereses sobre la deuda a largo plazo son los pagos de intereses adeudados pero no pagados, acumulativos. La deuda de acreedores privados incluye bonos emitidos públicamente o colocados en forma privada; préstamos comerciales de bancos privados y otras instituciones financieras privadas, y otros créditos privados de fabricantes, exportadores y otros proveedores de bienes, y los créditos bancarios cubiertos por una garantía de un organismo de crédito para la exportación. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales." 1970 2017
"Atrasos del principal, acreedores oficiales (US$ a precios actuales)" "Los atrasos en los pagos del principal de deuda a largo plazo se definen como los reembolsos del principal adeudados pero no pagados, acumulativos. La deuda de acreedores oficiales incluye los préstamos de organizaciones internacionales (préstamos multilaterales) y los préstamos de los Gobiernos (préstamos bilaterales). Los préstamos de organizaciones internacionales incluyen los préstamos y créditos del Banco Mundial, los bancos regionales de desarrollo y otros organismos multilaterales e intergubernamentales. Se excluyen los préstamos provenientes de fondos administrados por un organismo internacional en nombre de un único Gobierno donante; éstos se clasifican como préstamos de Gobiernos. Los préstamos de los Gobiernos incluyen préstamos de Gobiernos y sus organismos (incluidos los bancos centrales), préstamos de órganos autónomos y préstamos directos de organismos oficiales de crédito para la exportación. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales." 1970 2017
"Atrasos del principal, acreedores privados (US$ a precios actuales)" "Los atrasos en los pagos del principal de deuda a largo plazo se definen como los reembolsos del principal adeudados pero no pagados, acumulativos. La deuda de acreedores privados incluye bonos emitidos públicamente o colocados en forma privada; préstamos comerciales de bancos privados y otras instituciones financieras privadas, y otros créditos privados de fabricantes, exportadores y otros proveedores de bienes, y los créditos bancarios cubiertos por una garantía de un organismo de crédito para la exportación. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales." 1970 2017
"Atrasos del principal, de la deuda a largo plazo excepcional (US$ a precios actuales)" "Los atrasos en los pagos del principal de deuda a largo plazo se definen como los reembolsos del principal adeudados pero no pagados, acumulativos. La deuda externa a largo plazo se define como deuda con un vencimiento original o extendido de más de un año, que los residentes de un país adeudan a los no residentes y que se reembolsa en divisas, bienes o servicios. Datos en US$ a precios actuales." 1970 2017
"Ayuda Oficial al Desarrollo (ODA) neta recibida (% del INB)" "La asistencia oficial neta para el desarrollo (AOD) comprende los desembolsos de préstamos en condiciones concesionarias (netos de reembolsos del principal) y las donaciones otorgadas por organismos oficiales de los miembros del Comité de Asistencia para el Desarrollo (CAD), por instituciones multilaterales y por países que no integran el CAD a fin de promover el desarrollo y el bienestar económico en los países y territorios que figuran en la lista del CAD de destinatarios de AOD. Incluye los préstamos que tienen un elemento de donación de al menos el 25% (calculado a una tasa de descuento del 10%)." 1976 2017
"Ayuda oficial neta para el desarrollo recibida (US$ a precios actuales)" "La asistencia oficial neta para el desarrollo (AOD) comprende los desembolsos de préstamos en condiciones concesionarias (netos de reembolsos del principal) y las donaciones otorgadas por organismos oficiales de los miembros del Comité de Asistencia para el Desarrollo (CAD), por instituciones multilaterales y por países que no integran el CAD a fin de promover el desarrollo y el bienestar económico en los países y territorios que figuran en la lista del CAD de destinatarios de AOD. Incluye los préstamos que tienen un elemento de donación de al menos el 25% (calculado a una tasa de descuento del 10%). Datos en US$ a precios actuales." 1970 2017
"Ayuda oficial neta para el desarrollo y oficial neta recibidas (US$ a precios actuales)" "La asistencia oficial neta para el desarrollo (AOD) comprende los desembolsos de préstamos en condiciones concesionarias (netos de reembolsos del principal) y las donaciones otorgadas por organismos oficiales de los miembros del Comité de Asistencia para el Desarrollo (CAD), por instituciones multilaterales y por países que no integran el CAD a fin de promover el desarrollo y el bienestar económico en los países y territorios que figuran en la lista del CAD de destinatarios de AOD. Incluye los préstamos que tienen un elemento de donación de al menos el 25% (calculado a una tasa de descuento del 10%). La ayuda oficial neta se refiere a los flujos de ayuda (netos de reembolsos) de donantes oficiales a países y territorios incluidos en la segunda parte de la lista de destinatarios del CAD: países más avanzados de Europa central y oriental, los países de la ex Unión Soviética y ciertos países y territorios en desarrollo avanzados. La ayuda oficial se brinda conforme a los términos y condiciones similares a los de la AOD. La Parte II de la lista del Comité de Asistencia para el Desarrollo (CAD) fue derogada en 2005. La colección de datos sobre ayuda oficial y otros flujos de recursos a países de la Parte II finalizó con los datos de 2004.  Datos en US$ a precios actuales." 1970 2017
"Balanza comercial de bienes y servicios (% del PIB)" "La balanza comercial de bienes y servicios (antes, balanza de recursos) es igual a las exportaciones de bienes y servicios menos las importaciones de bienes y servicios (antes, servicios no atribuibles a factores)." 1970 2017
"Balanza comercial de bienes y servicios (UMN a precios actuales)" "La balanza comercial de bienes y servicios (antes, balanza de recursos) es igual a las exportaciones de bienes y servicios menos las importaciones de bienes y servicios (antes, servicios no atribuibles a factores). Los datos se expresan en moneda local a precios corrientes." 1970 2017
"Balanza comercial de bienes y servicios (UMN a precios constantes)" "La balanza comercial de bienes y servicios (antes, balanza de recursos) es igual a las exportaciones de bienes y servicios menos las importaciones de bienes y servicios (antes, servicios no atribuibles a factores). Los datos están expresados en moneda local a precios constantes." 1970 2017
"Balanza comercial de bienes y servicios (US$ a precios actuales)" "La balanza comercial de bienes y servicios (antes, balanza de recursos) es igual a las exportaciones de bienes y servicios menos las importaciones de bienes y servicios (antes, servicios no atribuibles a factores). Datos en US$ a precios actuales." 1970 2017
"Bancos regionales de desarrollo, en condiciones no concesionarias (FLN, US$ a precios corrientes)" "Los flujos financieros netos recibidos por el prestatario durante el año son los desembolsos de préstamos y créditos menos los reembolsos del principal. Los flujos financieros en condiciones no concesionarias abarcan todos los desembolsos excepto los realizados a través de mecanismos de préstamo en condiciones concesionarias. Los bancos regionales de desarrollo son el Banco Africano de Desarrollo, con sede en Túnez (Túnez), que ayuda a toda África, especialmente el Norte de África; el Banco Asiático de Desarrollo, con sede en Manila (Filipinas), que brinda asistencia a Asia meridional y central y Asia oriental y el Pacífico; el Banco Europeo de Reconstrucción y Desarrollo, con sede en Londres (Reino Unido), que atiende las necesidades de Europa y Asia central, y el Banco Interamericano de Desarrollo, con sede en la ciudad de Washington (Estados Unidos), que beneficia a toda América. Los agregados incluyen montos correspondientes a economías no especificadas en otra parte. Datos en US$ a precios actuales." 1970 2017
"Bebés con bajo peso al nacer (% de nacimientos)" "Los bebés con bajo peso al nacer son los recién nacidos que pesan menos de 2500 gramos, según el pesaje de las primeras horas de vida, antes de que se produzca la significativa pérdida de peso posnatal." 1994 2008
"BERD, privada no garantizada (flujos netos [FLN], US$ a precios actuales)" "La deuda a largo plazo no garantizada colocada en forma privada por el Banco Europeo de Reconstrucción y Desarrollo (BERD). Los flujos netos (o financiamiento neto o desembolsos netos) recibidos por el prestatario durante el año equivalen a los desembolsos menos los reembolsos del principal. Datos en US$ a precios actuales." 1970 2017
"Brecha de pobreza a $1,90 por día (2011 PPA) (%)" "Poverty gap at $1.90 a day (2011 PPP) is the mean shortfall in income or consumption from the poverty line $1.90 a day (counting the nonpoor as having zero shortfall), expressed as a percentage of the poverty line. This measure reflects the depth of poverty as well as its incidence. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions." 1990 2017
"Brecha de pobreza a nivel de la línea de pobreza nacional (%)" "Brecha de pobreza a nivel de la línea de pobreza nacional. Corresponde al déficit promedio de ingreso de los pobres respecto de la línea de pobreza (se considera a los no pobres como con déficit cero), expresado como porcentaje de la línea de pobreza. Esta medida refleja la profundidad de la pobreza y su incidencia." 2004 2015
"Brecha de pobreza a nivel de la línea de pobreza rural (%)" "Brecha de pobreza a nivel de la línea de pobreza rural. Corresponde al déficit promedio de ingreso de los pobres respecto de la línea de pobreza (se considera a los no pobres como con déficit cero), expresado como porcentaje de la línea de pobreza rural nacional. Esta medida refleja la profundidad de la pobreza y su incidencia." 2004 2014
"Brecha de pobreza a nivel de la línea de pobreza urbana (%)" "Brecha de pobreza a nivel de la línea de pobreza urbana. Corresponde al déficit promedio de ingreso de los pobres respecto de la línea de pobreza (se considera a los no pobres como con déficit cero), expresado como porcentaje de la línea de pobreza urbana nacional. Esta medida refleja la profundidad de la pobreza y su incidencia." 2004 2014
"Cajeros automáticos (por cada 100.000 adultos)" "Los cajeros automáticos son dispositivos de telecomunicaciones computarizados que brindan acceso a transacciones financieras en un lugar público a los clientes de una institución financiera." 2007 2017
"Camas hospitalarias (por cada 1.000 personas)" "Las camas hospitalarias se refiere a la cantidad de camas disponibles para internaciones en hospitales públicos, privados, generales y especializados, y centros de rehabilitación.  En la mayoría de los casos se incluyen tanto las camas para atención de agudos como las camas para atención de enfermos crónicos." 1970 2014
"Cambios en inventarios (UMN a precios actuales)" "Los inventarios son las existencias de bienes que las empresas mantienen para hacer frente a fluctuaciones temporales o inesperadas de la producción o las ventas, y los “productos en elaboración”. Los datos se expresan en moneda local a precios corrientes." 1988 2017
"Cambios en inventarios (UMN a precios constantes)" "Los inventarios son las existencias de bienes que las empresas mantienen para hacer frente a fluctuaciones temporales o inesperadas de la producción o las ventas, y los “productos en elaboración”. Los datos están expresados en moneda local a precios constantes." 1980 2017
"Cambios en inventarios (US$ a precios actuales)" "Los inventarios son las existencias de bienes que las empresas mantienen para hacer frente a fluctuaciones temporales o inesperadas de la producción o las ventas, y los “productos en elaboración”. Datos en US$ a precios actuales." 1988 2017
